frec(GHz)   Temperatura[mK]   cont_sinlineas
      93.3758       0.266783       0.266783
      93.4070      -0.461491      -0.461491
      93.4383     -0.0569372     -0.0569372
      93.4695       0.352516       0.352516
      93.5008        1.42612       0.100681
      93.5320        2.23197     -0.0495588
      93.5633       0.884271     -0.0741838
      93.5945       0.223392      0.0374964
      93.6258      -0.221974      -0.221974
      93.6570       0.211387       0.211387
      93.6883      -0.415398      -0.415398
      93.7195       0.538243       0.538243
      93.7508      -0.555494      -0.555494
      93.7820        1.02505        1.02505
      93.8133      -0.537694      -0.537694
      93.8445      -0.480991      -0.480991
      93.8758       0.396716       0.396716
      93.9070      -0.110752      -0.110752
      93.9383      0.0628501      0.0628501
      93.9695     -0.0254785     -0.0254785
      94.0008      -0.421767      -0.421767
      94.0320        1.02359        1.02359
      94.0633      -0.570151      -0.570151
      94.0945     -0.0811073     -0.0811073
      94.1258       0.526954       0.526954
      94.1570       -1.20934       -1.20934
      94.1883       0.927638       0.927638
      94.2195     -0.0501681     -0.0501681
      94.2508      -0.147338      -0.147338
      94.2820       0.346062       0.346062
      94.3133      -0.818019      -0.818019
      94.3445       0.638727       0.638727
      94.3758       0.104238       0.104238
      94.4070      -0.228189      -0.228189
      94.4383       0.119378       0.119378
      94.4695      -0.481755      -0.481755
      94.5008      0.0417126      0.0417126
      94.5320       0.866858       0.866858
      94.5633      -0.897160      -0.897160
      94.5945       0.623267       0.623267
      94.6258      -0.676279      -0.676279
      94.6570       0.642889       0.642889
      94.6883       0.226235       0.226235
      94.7195      -0.810380      -0.810380
      94.7508       0.445705       0.445705
      94.7820      -0.645132      -0.645132
      94.8133       0.667659       0.667659
      94.8445       0.152930       0.152930
      94.8758      -0.568514      -0.568514
      94.9070       0.748333       0.748333
      94.9383      -0.576533      -0.576533
      94.9695     -0.0684559     -0.0684559
      95.0008       0.342255       0.342255
      95.0320      -0.623631      -0.623631
      95.0633       0.658342       0.658342
      95.0945      -0.241497      -0.241497
      95.1258       0.123016       0.123016
      95.1570       0.122627       0.122627
      95.1883      -0.388664      -0.388664
      95.2195       0.426482       0.426482
      95.2508      -0.412723      -0.412723
      95.2820       0.242711       0.242711
      95.3133     -0.0252190     -0.0252190
      95.3445      -0.295675      -0.295675
      95.3758       0.262230       0.262230
      95.4070    -0.00466219    -0.00466219
      95.4383      0.0449437      0.0449437
      95.4695      0.0578887      0.0578887
      95.5008      -0.223540      -0.223540
      95.5320       0.127364       0.127364
      95.5633      0.0435696      0.0435696
      95.5945     -0.0442227     -0.0442227
      95.6258       0.144527       0.144527
      95.6570      -0.236897      -0.236897
      95.6883      0.0230129      0.0230129
      95.7195     -0.0624359     -0.0624359
      95.7508       0.114509       0.114509
      95.7820       0.217459       0.217459
      95.8133      -0.410051      -0.410051
      95.8445       0.108432       0.108432
      95.8758       0.179387       0.179387
      95.9070     -0.0362748     -0.0362748
      95.9383      0.0322685      0.0322685
